P³eæ;Wiek;Rok;Ofiary
Kobiety;Nieznany;2017;
Mê¿czyŸni;Nieznany;2013;191
Kobiety;Nieznany;2013;93
Nieznana;Nieznany;2013;18
Mê¿czyŸni;Nieznany;2014;188
Kobiety;Nieznany;2014;91
Nieznana;Nieznany;2014;8
Mê¿czyŸni;Nieznany;2015;186
Kobiety;Nieznany;2015;108
Nieznana;Nieznany;2015;4
Nieznana;Nieznany;2018;4
Mê¿czyŸni;0 - 9 ;2016;7
Mê¿czyŸni;10 - 14;2016;1
Mê¿czyŸni;15 - 17;2016;1
Mê¿czyŸni;18 -19 ;2016;1
Mê¿czyŸni;20 -24 ;2016;8
Mê¿czyŸni;25 - 29 ;2016;10
Mê¿czyŸni;30 - 44 ;2016;49
Mê¿czyŸni;45 -59 ;2016;52
Mê¿czyŸni;60 i wiêcej;2016;35
Mê¿czyŸni;Nieznany;2016;25
Kobiety;0 - 9 ;2016;0
Kobiety;10 - 14;2016;0
Kobiety;15 - 17;2016;1
Kobiety;18 - 19 ;2016;0
Kobiety;20 - 24 ;2016;3
Kobiety;25 - 29 ;2016;1
Kobiety;30 - 44 ;2016;18
Kobiety;45 - 59 ;2016;17
Kobiety;60 i wiêcej;2016;16
Kobiety;Nieznany;2016;15
Mê¿czyŸni;0 - 9 ;2017;7
Mê¿czyŸni;10 - 14;2017;0
Mê¿czyŸni;15 - 17;2017;0
Mê¿czyŸni;18 -19 ;2017;3
Mê¿czyŸni;20 -24 ;2017;10
Mê¿czyŸni;25 - 29 ;2017;16
Mê¿czyŸni;30 - 44 ;2017;65
Mê¿czyŸni;45 -59 ;2017;58
Mê¿czyŸni;60 i wiêcej;2017;34
Mê¿czyŸni;Nieznany;2017;
Kobiety;0 - 9 ;2017;3
Kobiety;10 - 14;2017;1
Kobiety;15 - 17;2017;2
Kobiety;18 - 19 ;2017;3
Kobiety;20 - 24 ;2017;3
Kobiety;25 - 29 ;2017;7
Kobiety;30 - 44 ;2017;29
Kobiety;45 - 59 ;2017;21
Kobiety;60 i wiêcej;2017;25
Mê¿czyŸni;0 - 9 ;2018;12
Mê¿czyŸni;10 - 14;2018;0
Mê¿czyŸni;15 - 17;2018;1
Mê¿czyŸni;18 -19 ;2018;3
Mê¿czyŸni;20 -24 ;2018;12
Mê¿czyŸni;25 - 29 ;2018;14
Mê¿czyŸni;30 - 44 ;2018;67
Mê¿czyŸni;45 -59 ;2018;57
Mê¿czyŸni;60 i wiêcej;2018;24
Mê¿czyŸni;Nieznany;2018;
Kobiety;0 - 9 ;2018;11
Kobiety;10 - 14;2018;0
Kobiety;15 - 17;2018;1
Kobiety;18 - 19 ;2018;2
Kobiety;20 - 24 ;2018;3
Kobiety;25 - 29 ;2018;3
Kobiety;30 - 44 ;2018;29
Kobiety;45 - 59 ;2018;17
Kobiety;60 i wiêcej;2018;17
